Rank,Artifact Name,Sector,Subsector,Description Stub
1,Phase III Clinical Trial Protocol & Execution Plan,Medical/Pharma,Clinical Trials,"Pivotal efficacy/safety trial design, endpoints, site network, statistical analysis plan"
2,Phase II Clinical Trial Protocol & Execution Plan,Medical/Pharma,Clinical Trials,Proof-of-concept dose-finding trial design and operational plan
3,Phase I Clinical Trial Protocol & Execution Plan,Medical/Pharma,Clinical Trials,First-in-human safety and pharmacokinetics trial design
4,Drug Development Regulatory Strategy & Submission Plan (IND/NDA),Medical/Pharma,Regulatory,"Regulatory pathway planning, IND application, NDA/BLA strategy document"
5,"Medical Device Regulatory Submission Package (510(k), PMA)",Medical/Pharma,Regulatory,"Device classification, predicate device analysis, PMA or 510(k) filing documentation"
6,Large-Cap Sell-Side M&A Advisory Mandate (1B+ deals),Financial Services,M&A Advisory,"Strategic advisory, buyer identification, CIM production, process management for large transactions"
7,Upper Mid-Market Sell-Side M&A Mandate (100M-1B),Financial Services,M&A Advisory,"Sell-side advisory for mid-market companies, CIM, buyer meetings, process management"
8,Lower Mid-Market Sell-Side M&A Mandate (25-100M),Financial Services,M&A Advisory,Sell-side advisory for smaller mid-market transactions
9,Buy-Side M&A Advisory & Target Evaluation Package,Financial Services,M&A Advisory,"Acquisition strategy, target screening, negotiation support, deal structuring advice"
10,Fairness Opinion (Mid-Market M&A),Financial Services,M&A Advisory,Independent valuation opinion for fiduciary duty protection in M&A transactions
11,Financial Due Diligence Report,Financial Services,M&A Advisory,"Comprehensive financial analysis, historical performance, working capital, EBITDA adjustment review"
12,Commercial Due Diligence Report,Financial Services,M&A Advisory,"Market analysis, competitive positioning, revenue sustainability, growth drivers assessment"
13,Tax Due Diligence Report & Restructuring Opinion,Financial Services,M&A Advisory,"Tax exposure assessment, compliance review, post-acquisition restructuring strategy"
14,Private Equity Investment Committee Memo & Valuation Model,Financial Services,PE/VC,"Investment thesis, financial model, entry/exit strategy, risk assessment for IC approval"
15,Venture Capital Due Diligence Report & Term Sheet Support,Financial Services,PE/VC,"Startup financial analysis, market sizing, founder assessment, term sheet negotiation"
16,Restructuring/Chapter 11 Plan & Disclosure Statement,Financial Services,Restructuring,"Bankruptcy plan, creditor recovery analysis, DIP financing, emergence strategy"
17,Asset Valuation & Appraisal Report (Non-Real Estate),Financial Services,Valuation,"Fair value assessment of plant, equipment, intangibles, intellectual property"
18,"Business Valuation Report (Minority Interest, Damages)",Financial Services,Valuation,"Corporate valuation for litigation, buy-sell agreements, shareholder disputes"
19,Legal Due Diligence Opinion (M&A),Legal Services,Corporate Law,"Comprehensive legal review of target company, material contracts, litigation, compliance"
20,Patent Application (Utility Patent),Legal Services,Intellectual Property,"Patent specification, claims, drawings, prosecution through USPTO to issuance"
21,Patent Application (Design Patent),Legal Services,Intellectual Property,"Design patent application, drawings, ornamental design claims"
22,Trademark Application & Registration Package,Legal Services,Intellectual Property,"Trademark search, application filing, office action responses, registration through USPTO"
23,Copyright Registration & Notice Package,Legal Services,Intellectual Property,"Copyright registration, infringement notices, licensing agreements"
24,IP Due Diligence Report & Freedom-to-Operate Opinion,Legal Services,Intellectual Property,"Patent landscape analysis, infringement risk assessment, licensing strategy"
25,Complex Commercial Contract Suite (Acquisition Agreement),Legal Services,Corporate Law,"Negotiated acquisition agreement with reps, warranties, indemnities, escrow provisions"
26,Securities Offering Legal Opinion & Documentation Package,Legal Services,Securities Law,"Legal opinions, SEC compliance review, prospectus review for public offering"
27,IPO/Equity Offering Prospectus & Registration Statement (S-1),Legal Services,Securities Law,"SEC S-1 filing with full disclosure, risk factors, executive compensation, cap table"
28,Litigation Expert Report & Damages Calculation,Legal Services,Litigation,"Expert analysis on liability, causation, damages; prepared for depositions, trial"
29,Litigation Discovery & Document Review Strategy,Legal Services,Litigation,"Discovery plan, ESI protocol, document review protocols, litigation hold notices"
30,"Legal Brief & Memorandum of Law (Summary Judgment, Appeal)",Legal Services,Litigation,"Detailed legal arguments, case citations, fact analysis for court motions"
31,Regulatory Compliance Audit & Remediation Plan,Legal Services,Regulatory,"Compliance gap assessment, recommendations, implementation roadmap (HIPAA, SOX, GDPR, etc.)"
32,Anti-Corruption/FCPA Compliance Program & Training,Legal Services,Regulatory,"FCPA risk assessment, controls framework, third-party vetting, training materials"
33,Government Contracts & Federal Compliance Documentation,Legal Services,Regulatory,"FAR compliance, security clearances, Cost Accounting Standards, contract negotiation"
34,Real Estate Purchase & Sale Agreement Package,Legal Services,Real Estate Law,"P&S agreement, due diligence requirements, title review, escrow instructions"
35,Corporate Governance & Board Resolution Package,Legal Services,Corporate Law,"Bylaws, shareholder resolutions, board minutes, corporate records organization"
36,Merger of Equals Equity Structure & Legal Documentation,Legal Services,Corporate Law,"Stock purchase agreement, vote and trust agreement, tax opinion for merger"
37,Data Privacy & Cybersecurity Legal Compliance Package,Legal Services,Regulatory,"GDPR/CCPA compliance, data processing agreements, incident response plan, privacy policy"
38,Employment & Executive Compensation Legal Documentation,Legal Services,Employment Law,"Executive agreements, equity plans, severance arrangements, 280G tax analysis"
39,Enterprise Digital Transformation Program Blueprint,Management Consulting,Digital/Transformation,"Operating model redesign, technology roadmap, process automation, change management plan"
40,"Corporate Strategy ""North Star"" & Portfolio Review",Management Consulting,Strategy,"Strategic positioning, portfolio optimization, M&A/divestiture recommendations"
41,Operations & Process Improvement Roadmap,Management Consulting,Operations,"Supply chain optimization, manufacturing efficiency, cost reduction initiatives"
42,Organizational Design & Operating Model Redesign,Management Consulting,Organization,"Span of control analysis, role redesign, governance structure, reporting lines"
43,Enterprise Cloud Migration Strategy & Implementation Plan,Management Consulting,Digital/Transformation,"Cloud platform selection, application migration roadmap, cost analysis, risk mitigation"
44,IT Systems Rationalization & Technology Stack Assessment,Management Consulting,Technology,"Legacy system analysis, consolidation roadmap, technical debt assessment"
45,Market Entry Strategy & Business Case for New Region,Management Consulting,Strategy,"Market sizing, competitive analysis, entry modes, investment requirements"
46,Post-Merger Integration (PMI) Plan & Playbook,Management Consulting,M&A,"Integration roadmap, synergy capture, organizational alignment, stakeholder management"
47,"Cost Reduction Program & ""Quick Wins"" Roadmap",Management Consulting,Operations,"Benchmarking analysis, cost reduction initiatives, SG&A optimization, procurement savings"
48,Customer Segmentation & Go-to-Market Strategy,Management Consulting,Strategy,"Customer analytics, pricing strategy, channel optimization, sales force design"
49,Sustainability & ESG Strategy Implementation Plan,Management Consulting,Strategy,"Carbon reduction targets, ESG governance, stakeholder engagement, reporting frameworks"
50,Change Management & Organizational Transformation Program,Management Consulting,Organization,"Change network design, communication strategy, training programs, resistance management"
51,Scenario Planning & Strategic Options Analysis,Management Consulting,Strategy,"Strategic scenarios, financial modeling, decision trees, sensitivity analysis"
52,Pricing Strategy & Revenue Optimization Study,Management Consulting,Strategy,"Pricing analytics, willingness-to-pay analysis, dynamic pricing models, promotion optimization"
53,Supply Chain Network Optimization & Facility Study,Management Consulting,Operations,"Network design, facility footprint optimization, inventory optimization, logistics analysis"
54,Enterprise-Grade Custom Software Platform Design & Build,Technology Services,Custom Development,"Full-cycle software development, architecture design, testing, deployment, documentation"
55,Enterprise Data Platform & Analytics Implementation,Technology Services,Data/Analytics,"Data warehouse/lake architecture, ETL pipelines, BI tools implementation, analytics suite"
56,Cloud Infrastructure Migration & Implementation Project,Technology Services,Cloud,"AWS/Azure/GCP migration, infrastructure-as-code, security, disaster recovery setup"
57,Mid-Size Enterprise Software Implementation (ERP/CRM/HCM),Technology Services,Systems Implementation,"ERP/CRM/HCM system selection, configuration, customization, change management"
58,Large-Scale Cybersecurity Program Assessment & Roadmap,Technology Services,Cybersecurity,"Security assessment, vulnerability analysis, multi-year remediation roadmap, risk framework"
59,Enterprise Cybersecurity Risk Assessment (Deep Scope),Technology Services,Cybersecurity,"Comprehensive security posture evaluation, controls assessment, remediation recommendations"
60,Penetration Test & Vulnerability Assessment Report,Technology Services,Cybersecurity,"Ethical hacking, attack simulations, vulnerability scanning, risk-ranked recommendations"
61,Business Continuity & Disaster Recovery Plan,Technology Services,Cybersecurity,"BCP/DRP design, failover procedures, RTO/RPO analysis, tabletop testing documentation"
62,IT Service Management & Help Desk Transformation,Technology Services,IT Operations,"ITIL implementation, service desk design, ticketing system setup, SLA definition"
63,API Platform & Integration Architecture Design,Technology Services,Custom Development,"API strategy, platform architecture, microservices design, developer portal setup"
64,Mobile App Development & Launch (Native/Cross-Platform),Technology Services,Custom Development,"Mobile app design, development, testing, app store deployment, user adoption strategy"
65,AI/ML Model Development & Implementation Project,Technology Services,Data/Analytics,"ML pipeline design, model training, validation, productionization, MLOps setup"
66,Major Infrastructure Engineering Design Package,Engineering,Civil/Infrastructure,"Full design for highways, bridges, transit systems; detailed specs, environmental compliance"
67,Civil Transportation Corridor Feasibility & Design Study,Engineering,Civil/Infrastructure,"Transportation corridor planning, ridership modeling, cost-benefit analysis, preliminary design"
68,Water Resources & Stormwater Management Design Package,Engineering,Civil/Infrastructure,"Water treatment, stormwater systems, flood mitigation, environmental compliance design"
69,Electrical System Design & Power Distribution Engineering,Engineering,Electrical,"Power system design, load calculations, substation layout, distribution network planning"
70,"Mechanical Systems Engineering Design (HVAC, Plumbing)",Engineering,Mechanical,"HVAC design, plumbing systems, equipment selection, specifications, O&M manuals"
71,Structural Engineering & Geotechnical Analysis Report,Engineering,Structural,"Foundation design, load analysis, structural drawings, geotechnical investigation"
72,Manufacturing Process Design & Production Engineering Plan,Engineering,Manufacturing,"Production line layout, equipment specification, quality systems, automation strategy"
73,Systems Integration & Controls Engineering Design,Engineering,Systems Integration,"Control system architecture, SCADA design, PLC programming, automation strategy"
74,Pipeline & Utility Network Engineering Design Package,Engineering,Civil/Infrastructure,"Pipeline routing, capacity analysis, corrosion protection, regulatory compliance design"
75,Industrial Plant Layout & Optimization Study,Engineering,Manufacturing,"Facility layout design, material flow analysis, safety optimization, expansion planning"
76,High-End Hospital/Complex Facility Architecture Package,Architecture/Construction,Institutional,"Full architectural design for hospitals, research facilities, labs; full design development"
77,Large Office Complex Architectural Design & Documentation,Architecture/Construction,Commercial,"Class A office design, space planning, MEP coordination, construction documentation"
78,Mixed-Use Development Master Plan & Phasing Strategy,Architecture/Construction,Commercial,"Mixed-use site planning, retail/residential/office coordination, phased delivery"
79,University/Educational Facility Campus Master Plan,Architecture/Construction,Institutional,"Campus planning, building layouts, circulation, sustainability, 10â€“20 year strategy"
80,Sustainable/LEED-Certified Design Package,Architecture/Construction,Sustainability,"Green building design, LEED certification planning, energy modeling, sustainable materials"
81,Renovation & Historic Preservation Design Documentation,Architecture/Construction,Renovation,"Historic rehabilitation design, code compliance, preservation standards compliance"
82,Construction Administration & Project Delivery Services,Architecture/Construction,Project Management,"On-site construction oversight, RFI resolution, change order management, schedule tracking"
83,Preconstruction & Design-Build Documentation Package,Architecture/Construction,Project Management,"Cost estimates, constructability analysis, design-build partnering, guaranteed max price"
84,Urban Planning & City Master Plan Development,Architecture/Construction,Urban Planning,"Comprehensive city/district planning, zoning strategy, infrastructure coordination"
85,Interior Design & Space Planning Package,Architecture/Construction,Interior Design,"Space planning, material selection, FF&E specifications, dimensional drawings"
86,Large Real Estate Development Feasibility Study,Real Estate,Development,"Site analysis, market study, financial feasibility, zoning/entitlements assessment"
87,Commercial Real Estate Appraisal & Valuation Report,Real Estate,Valuation,"Income approach, comparable sales, cost approach, broker market analysis"
88,Real Estate Investment Analysis & Acquisition Recommendation,Real Estate,Investment Analysis,"Investment thesis, proforma analysis, risk assessment, market positioning"
89,Property Management Plan & Operations Manual,Real Estate,Property Management,"Property operations manual, tenant relations protocol, maintenance schedules, reporting"
90,Portfolio Valuation & Strategic Asset Review,Real Estate,Valuation,"Multi-property valuation, portfolio optimization, divestiture recommendations"
91,"Environmental Site Assessment (Phase I, Phase II)",Real Estate,Environmental,"Site environmental history, Phase I ESA, Phase II ESA with soil/groundwater testing"
92,Title Review & Property Rights Analysis,Real Estate,Legal,"Title report review, easement analysis, deed review, lien searches"
93,Comprehensive Environmental Impact Statement (EIS),Environmental/Regulatory,Environmental Compliance,"NEPA EIS documentation, environmental analysis, mitigation measures, public comment response"
94,Permitting Strategy & Regulatory Approval Roadmap,Environmental/Regulatory,Regulatory Compliance,"Permit requirements assessment, application strategy, agency coordination plan"
95,Environmental Compliance Audit & Remediation Plan,Environmental/Regulatory,Environmental Compliance,"Environmental compliance gap assessment, remediation roadmap, regulatory agency negotiation"
96,Sustainability & CSR Strategy Report,Environmental/Regulatory,Sustainability,"ESG strategy, carbon footprint analysis, sustainability targets, stakeholder reporting"
97,Hazardous Materials Handling & Waste Management Plan,Environmental/Regulatory,Environmental Compliance,"HAZMAT inventory, disposal protocols, waste management procedures, compliance documentation"
98,Air Quality & Emissions Analysis Report,Environmental/Regulatory,Environmental Compliance,"Emissions modeling, air quality impact assessment, permitting support, mitigation strategies"
99,CEQA/NEPA Alternative Analysis & Mitigation Design,Environmental/Regulatory,Environmental Compliance,"Environmental alternative analysis, mitigation measure design, compliance documentation"
100,Global Brand Repositioning & Integrated Campaign,Creative/Marketing,Brand Strategy,"Brand strategy, messaging framework, multi-channel campaign, production execution"
101,Digital Marketing Strategy & Content Production Program,Creative/Marketing,Digital Marketing,"Digital strategy, content calendar, SEO/SEM/social strategy, website/app design"
102,Advertising Campaign Creative Development & Production,Creative/Marketing,Advertising,"Creative concepts, ad production (TV, radio, print, digital), media planning"
103,Market Research Study & Consumer Insights Report,Creative/Marketing,Market Research,"Quantitative/qualitative research, consumer insights, competitive analysis"
104,Product Launch Strategy & Go-to-Market Plan,Creative/Marketing,Brand Strategy,"Launch strategy, pricing, positioning, promotional plan, partnership strategy"
105,Research Protocol & Grant Application Package,Scientific Research/R&D,Research Design,"Research protocol design, NIH grant application (R01, R21), preliminary data"
106,Technical White Paper & Literature Review,Scientific Research/R&D,Research Publishing,"Technical analysis, literature synthesis, research findings documentation"
107,Laboratory Analytics & Testing Report,Scientific Research/R&D,Testing & Analysis,"Lab analysis results, quality testing, certification reports, compliance documentation"
108,R&D Program Strategy & Innovation Portfolio Planning,Scientific Research/R&D,R&D Strategy,"R&D strategy, portfolio prioritization, innovation pipeline, commercialization roadmap"
109,Technical Feasibility Study & Proof-of-Concept Report,Scientific Research/R&D,Research Design,"Feasibility analysis, POC experimental design, results summary, commercialization assessment"
110,Product Development Engineering Specification,Scientific Research/R&D,Product Development,"Technical specifications, performance requirements, design documentation, prototype testing"
111,Manufacturing Scale-Up & Process Validation Report,Scientific Research/R&D,Product Development,"Manufacturing scale-up, process validation, batch testing, commercial readiness assessment"
